[100.954] ----BEGIN_NNQ_XQ----
[101.503] 1228,0.00211
[101.505] 1259,0.00170
[101.509] 1290,0.00123
[101.510] 1321,0.00072
[101.512] 1352,0.00019
[101.514] 1383,-0.00036
[101.516] 1414,-0.00089
[101.520] 1445,-0.00147
[101.521] 1476,-0.00195
[101.523] 1507,-0.00232
[101.525] 1538,-0.00261
[101.527] 1569,-0.00280
[101.532] 1600,-0.00284
[101.533] 1631,-0.00287
[101.535] 1662,-0.00288
[101.537] 1693,-0.00286
[101.539] 1724,-0.00280
[101.544] 1755,-0.00270
[101.545] 1786,-0.00257
[101.547] 1817,-0.00240
[101.549] 1848,-0.00220
[101.551] 1879,-0.00198
[101.556] 1910,-0.00174
[101.557] 1941,-0.00149
[101.559] 1972,-0.00092
[101.561] 2003,-0.00071
[101.563] 2034,-0.00045
[101.568] ----END_NNQ_YP----
